"source_id","n_rows_whole","n_rows_particles","pmcid","link","license","verification_sources","citation"
"SRC_0047","9","69","PMC11728515","https://doi.org/10.3390/pharmaceutics16121506","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Development and Characterization of Spray-Dried Combined Levofloxacin–Ambroxol Dry Powder Inhaler Formulation. Ruwani K. Suraweera et al. (2024). Pharmaceutics."
"SRC_0049","4","7","","https://doi.org/10.1016/j.powtec.2025.120788","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Spray freeze-drying for inhalable L-leucine, mannitol-based microparticles: The impact of process variables, L-leucine, and crystallinity on Aerosolization properties. Lorena Pasero et al. (2025). Powder Technology."
"SRC_0050","8","0","","https://doi.org/10.7324/JAPS.2025.206829","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Development and evaluation of remdesivir dry powder inhalation formulation by spray drying technique. Mukesh Pandurang Ratnaparkhi et al. (2024). Journal of Applied Pharmaceutical Science."
"SRC_0051","2","7","","https://doi.org/10.3390/app15031547","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Evaluation of Permeability, Safety, and Stability of Nanosized Ketoprofen Co-Spray-Dried with Mannitol for Carrier-Free Pulmonary Systems. Heba Banat et al. (2025). Applied Sciences."
"SRC_0052","4","25","PMC12072997","https://doi.org/10.3390/ijms26094320","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Nano-Spray-Drying of Cyclodextrin/Ibuprofen Complexes with Aerosolization-Enhancing Additives for Pulmonary Drug Delivery. Anett Motzwickler-Németh et al. (2025). International Journal of Molecular Sciences."
"SRC_0053","6","7","PMC12587441","https://doi.org/10.1021/acs.molpharmaceut.5c00663","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Machine Learning-Guided Prediction of Formulation Performance in Inhalable Ciprofloxacin–Bile Acid Dispersions with Antimicrobial and Toxicity Evaluation. Tareq Zeyad Bahjat et al. (2025). Molecular Pharmaceutics."
"SRC_0054","11","53","PMC12030175","https://doi.org/10.3390/pharmaceutics17040466","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Optimization, In Vitro, and In Silico Characterization of Theophylline Inhalable Powder Using Raffinose-Amino Acid Combination as Fine Co-Spray-Dried Carriers. Petra Party et al. (2025). Pharmaceutics."
"SRC_0055","2","12","PMC12030394","https://doi.org/10.3390/pharmaceutics17040486","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Nanoparticle-Based Dry Powder Inhaler Containing Ciprofloxacin for Enhanced Targeted Antibacterial Therapy. Petra Party et al. (2025). Pharmaceutics."
"SRC_0056","6","18","PMC12114934","https://doi.org/10.3390/pharmaceutics17050634","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Preparation of Carrier-Free Inhalable Dry Powder of Rivaroxaban Using Two-Step Milling for Lung-Targeted Delivery. Young-Jin Kim et al. (2025). Pharmaceutics."
"SRC_0057","1","0","PMC12300973","https://doi.org/10.3390/pharmaceutics17070909","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Three-Compartment Pharmacokinetics of Inhaled and Injected Sinapine Thiocyanate Manifest Prolonged Retention and Its Therapeutics in Acute Lung Injury. Zixin Li et al. (2025). Pharmaceutics."
